Time,A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Accelerator Pedal Angle (%),Boost Error* (bar),Coolant Temperature (C),Engine Speed (rpm),Exhaust VVT Advance Angle Left (degrees),Exhaust VVT Advance Angle Right (degrees),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (estimated AFR),Fine Learning Knock Correction (degrees),Fuel Injector #1 Pulse Width (ms),Gear (Calculated)* (position),IAM (multiplier),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Knock Sum* (count),Manifold Absolute Pressure (bar),Manifold Relative Pressure (bar),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Vehicle Speed (km/h)
11211,0.00,-5.47,11.14,49.80,-0.073,86,4292,13,12,0.00,11.82,0.00,11.26,3,1.0000,26.00,40.28,10,22,22,16,1.370,0.360,121.74,0.00,34.51,92
11241,0.00,-5.47,11.14,49.80,-0.073,86,4272,12,12,0.00,11.82,0.00,11.26,3,1.0000,26.00,40.10,10,22,22,16,1.370,0.370,124.13,0.00,34.51,92
11269,0.00,-5.47,11.14,49.80,-0.066,86,4242,12,12,0.00,11.81,0.00,11.52,3,1.0000,26.00,40.73,10,22,22,16,1.370,0.370,122.33,0.00,34.51,92
11296,0.00,-5.47,11.14,49.80,-0.066,86,4169,12,12,0.00,11.81,0.00,11.52,3,1.0000,12.50,40.02,10,22,22,16,1.380,0.370,122.93,0.00,34.51,92
11326,0.00,-5.47,11.14,49.80,-0.045,86,4094,13,12,0.00,11.78,0.00,11.52,3,1.0000,12.50,39.30,10,22,22,16,1.390,0.380,122.33,0.00,34.51,92
11353,0.00,-5.47,11.14,49.80,-0.045,86,4018,13,12,0.00,11.78,0.00,11.78,3,1.0000,12.50,39.43,10,22,23,16,1.410,0.400,122.04,0.00,34.90,92
11389,0.00,-5.47,11.14,49.80,-0.049,86,3976,13,12,0.00,11.60,0.00,12.03,3,1.0000,12.00,39.87,10,23,24,16,1.420,0.420,118.44,0.00,35.29,93
11417,0.00,-5.47,11.14,49.80,-0.049,86,3844,14,13,0.00,11.60,0.00,12.03,3,1.0000,10.50,38.55,10,24,25,16,1.450,0.440,118.14,0.00,36.08,93
11443,0.00,-5.47,11.14,49.80,-0.072,86,3807,15,14,0.00,11.53,0.00,12.29,3,1.0000,10.00,38.98,10,25,26,16,1.460,0.450,115.44,0.00,36.08,93
11485,0.00,-5.47,11.14,49.80,-0.072,86,3716,16,14,0.00,11.53,0.00,12.03,3,1.0000,9.00,37.25,10,26,27,16,1.470,0.460,111.24,0.00,36.08,93
11520,0.00,-5.47,11.14,49.80,-0.080,86,3563,17,15,0.00,11.51,0.00,12.29,3,1.0000,7.50,36.49,10,27,28,16,1.480,0.480,111.84,0.00,36.47,93
11569,0.00,-5.47,11.14,49.80,-0.080,86,3467,17,16,0.00,11.51,0.00,12.29,3,1.0000,7.00,35.50,10,28,29,16,1.490,0.490,109.14,0.00,36.86,93
11605,0.00,-5.47,11.14,49.80,-0.082,86,3374,19,17,0.00,11.44,0.00,12.54,3,1.0000,12.50,35.26,10,30,30,16,1.500,0.500,106.76,0.00,36.86,94
11631,0.00,-5.47,11.25,49.80,-0.082,86,3356,20,18,0.00,11.44,0.00,12.54,3,1.0000,20.00,35.08,10,30,30,16,1.500,0.490,101.82,0.00,37.25,94
11661,0.00,-5.47,11.25,49.80,-0.072,86,3385,20,19,0.00,11.47,0.00,12.29,3,1.0000,21.00,34.66,10,30,30,16,1.500,0.490,100.78,0.00,37.25,94
11701,0.00,-5.47,11.25,49.80,-0.072,86,3370,21,19,0.00,11.47,0.00,11.78,3,1.0000,21.50,33.08,10,30,30,16,1.490,0.490,99.22,0.00,37.25,94
11750,0.00,-5.47,11.25,49.80,-0.064,86,3380,22,20,0.00,11.70,0.00,11.52,3,1.0000,22.00,32.44,10,30,30,16,1.480,0.480,99.22,0.00,37.25,94
11799,0.00,-5.47,11.37,49.80,-0.060,86,3387,23,21,0.00,11.85,0.00,11.52,3,1.0000,22.00,32.51,10,31,31,16,1.470,0.470,98.96,0.00,36.86,94
11835,0.00,-5.47,11.48,49.80,-0.053,86,3385,23,21,0.00,11.85,0.00,11.52,4,1.0000,22.00,32.50,10,32,32,16,1.470,0.460,101.56,0.00,36.86,94
11871,0.00,-5.47,11.60,49.80,-0.053,86,3416,23,21,0.00,11.85,0.00,11.52,4,1.0000,22.00,32.79,10,33,33,16,1.470,0.460,101.82,0.00,36.47,95
11901,0.00,-5.47,11.83,49.80,-0.051,86,3400,22,21,0.00,11.75,0.00,11.78,4,1.0000,22.00,33.37,10,33,33,16,1.470,0.460,103.64,0.00,36.47,95
11938,0.00,-5.47,11.83,49.80,-0.051,86,3424,22,22,0.00,11.75,0.00,11.78,4,1.0000,21.50,33.60,10,33,34,16,1.470,0.460,104.16,0.00,36.47,95
11971,0.00,-5.47,11.83,49.80,-0.040,86,3425,22,22,0.00,11.66,0.00,12.03,4,1.0000,21.50,34.34,10,33,34,16,1.470,0.460,103.12,0.00,36.47,95
12020,0.00,-5.47,11.83,49.80,-0.040,86,3422,22,22,0.00,11.66,0.00,11.78,4,1.0000,21.50,33.58,10,33,33,16,1.470,0.470,102.34,0.00,36.47,95
12056,0.00,-5.47,11.71,49.80,-0.051,86,3424,22,21,0.00,11.68,0.00,11.78,4,1.0000,21.50,33.60,10,33,33,16,1.470,0.460,103.12,0.00,36.47,95
12085,0.00,-5.47,11.60,49.80,-0.051,86,3426,22,22,0.00,11.68,0.00,11.78,4,1.0000,21.50,33.62,10,32,32,16,1.470,0.470,103.38,0.00,36.08,95
12111,0.00,-5.47,11.60,49.80,-0.056,86,3403,22,22,0.00,11.68,0.00,11.78,4,1.0000,21.50,33.40,10,32,32,16,1.470,0.470,104.42,0.00,36.08,95
12154,0.00,-5.47,11.60,49.80,-0.056,86,3426,22,22,0.00,11.68,0.00,11.78,4,1.0000,21.50,33.62,10,32,32,16,1.470,0.470,101.82,0.00,36.08,96
12189,0.00,-5.47,11.60,49.80,-0.048,86,3402,22,22,0.00,11.70,0.00,11.78,4,1.0000,21.50,33.38,10,32,32,16,1.470,0.470,102.86,0.00,36.08,96
12226,0.00,-5.47,11.60,49.80,-0.056,86,3397,22,22,0.00,11.73,0.00,11.78,4,1.0000,22.00,33.34,10,32,31,16,1.470,0.470,101.56,0.00,35.69,96
12251,0.00,-5.47,11.48,49.80,-0.056,86,3405,22,22,0.00,11.73,0.00,11.78,4,1.0000,22.00,33.41,10,32,31,16,1.470,0.470,103.12,0.00,35.69,96
12288,0.00,-5.47,11.60,49.80,-0.050,86,3434,22,22,0.00,11.75,0.00,11.78,4,1.0000,22.00,33.70,10,32,32,16,1.470,0.470,101.04,0.00,35.69,96
12324,0.00,-5.47,11.60,50.20,-0.050,86,3436,22,22,0.00,11.75,0.00,11.52,4,1.0000,22.00,32.99,10,31,32,16,1.470,0.460,101.56,0.00,35.69,96
12352,0.00,-5.47,11.60,50.20,-0.035,86,3444,22,22,0.00,11.78,0.00,11.78,4,1.0000,22.00,33.80,10,32,32,16,1.470,0.470,103.38,0.00,36.47,97
12388,0.00,-5.47,11.60,50.20,-0.035,86,3428,22,22,0.00,11.78,0.00,11.52,4,1.0000,22.00,32.90,10,32,32,16,1.470,0.460,102.34,0.00,36.47,97
12423,0.00,-5.47,11.71,50.20,-0.044,86,3447,22,22,0.00,11.75,0.00,11.78,4,1.0000,22.00,33.83,10,32,32,16,1.470,0.470,102.08,0.00,36.47,97
12451,0.00,-5.47,11.71,49.80,-0.044,86,3446,22,22,0.00,11.75,0.00,11.78,4,1.0000,22.00,33.82,10,32,32,16,1.470,0.470,102.60,0.00,36.47,97
12505,0.00,-5.47,11.71,49.80,-0.048,86,3434,22,21,0.00,11.76,0.00,11.78,4,1.0000,22.00,33.70,10,32,32,16,1.470,0.470,103.90,0.00,36.08,97
12541,0.00,-5.47,11.71,50.20,-0.040,86,3437,22,21,0.00,11.70,0.00,11.78,4,1.0000,22.00,33.73,10,32,32,16,1.470,0.460,103.38,0.00,35.69,97
12569,0.00,-5.47,11.71,49.80,-0.040,86,3439,22,21,0.00,11.70,0.00,11.78,4,1.0000,22.00,33.75,10,32,32,16,1.470,0.460,102.86,0.00,35.69,97
12598,0.00,-5.47,11.60,49.80,-0.048,86,3434,21,21,0.00,11.75,0.00,11.78,4,1.0000,22.00,33.70,10,32,32,16,1.470,0.460,103.90,0.00,35.69,98
12626,0.00,-5.47,11.60,49.80,-0.048,86,3457,21,21,0.00,11.75,0.00,11.78,4,1.0000,22.00,33.92,10,32,32,16,1.470,0.460,103.12,0.00,35.69,98
12656,0.00,-5.47,11.60,50.20,-0.048,86,3443,21,21,0.00,11.75,0.00,11.78,4,1.0000,22.00,33.78,10,32,32,16,1.470,0.460,102.86,0.00,35.69,98
12721,0.00,-5.47,11.60,49.80,-0.039,86,3464,21,21,0.00,11.74,0.00,11.78,4,1.0000,22.00,34.00,10,32,32,16,1.470,0.460,102.34,0.00,35.69,98
12750,0.00,-5.47,11.60,49.80,-0.039,86,3466,21,21,0.00,11.75,0.00,11.78,4,1.0000,22.00,34.01,10,31,32,16,1.470,0.460,104.68,0.00,35.69,98
12779,0.00,-5.47,11.60,49.80,-0.039,86,3440,21,21,0.00,11.75,0.00,11.78,4,1.0000,22.00,33.76,10,32,32,16,1.470,0.460,104.94,0.00,35.69,98
12807,0.00,-5.47,11.60,49.80,-0.042,86,3442,21,21,0.00,11.69,0.00,11.78,4,1.0000,21.50,33.78,10,32,32,16,1.470,0.460,103.12,0.00,35.69,98
12857,0.00,-5.47,11.60,49.80,-0.042,86,3465,21,21,0.00,11.69,0.00,11.78,4,1.0000,22.00,34.01,10,32,32,16,1.470,0.460,103.12,0.00,35.69,99
12893,0.00,-5.47,11.48,49.80,-0.046,86,3436,21,21,0.00,11.71,0.00,11.78,4,1.0000,22.00,33.72,10,32,32,16,1.470,0.460,102.86,0.00,35.69,99
12920,0.00,-5.47,11.48,50.20,-0.048,86,3470,22,21,0.00,11.74,0.00,11.78,4,1.0000,22.00,34.05,10,32,32,16,1.470,0.460,102.60,0.00,35.69,99
12951,0.00,-5.47,11.48,50.20,-0.048,86,3458,22,21,0.00,11.74,0.00,11.52,4,1.0000,22.00,33.20,10,32,31,16,1.470,0.460,103.12,0.00,35.69,99
12977,0.00,-5.47,11.48,50.20,-0.043,86,3486,21,21,0.00,11.76,0.00,11.52,4,1.0000,22.00,33.47,10,32,32,16,1.470,0.460,102.86,0.00,36.08,99
13002,0.00,-5.47,11.60,49.80,-0.043,86,3471,21,21,0.00,11.76,0.00,11.52,4,1.0000,22.00,33.32,10,32,32,16,1.470,0.460,103.64,0.00,36.08,99
13031,0.00,-5.47,11.60,49.80,-0.043,86,3470,21,21,0.00,11.76,0.00,11.78,4,1.0000,22.00,34.05,10,32,32,16,1.470,0.460,104.42,0.00,36.08,99
13072,0.00,-5.47,11.60,49.80,-0.053,86,3484,21,21,0.00,11.72,0.00,11.78,4,1.0000,22.00,34.19,10,32,32,16,1.460,0.460,105.20,0.00,36.08,100
13108,0.00,-5.47,11.60,49.80,-0.053,86,3489,21,21,0.00,11.72,0.00,11.78,4,1.0000,22.00,34.24,10,32,32,16,1.460,0.460,104.42,0.00,35.69,100
13152,0.00,-5.47,11.60,49.80,-0.045,86,3470,21,21,0.00,11.69,0.00,11.78,4,1.0000,22.00,34.06,10,32,32,16,1.460,0.460,105.20,0.00,35.69,100
13188,0.00,-5.47,11.48,49.80,-0.044,86,3496,21,21,0.00,11.71,0.00,11.78,4,1.0000,22.00,34.30,10,32,32,16,1.470,0.460,103.38,0.00,35.69,100
13233,0.00,-5.47,11.48,50.20,-0.044,86,3496,21,21,0.00,11.71,0.00,11.78,4,1.0000,22.00,34.30,10,32,32,16,1.470,0.460,103.64,0.00,35.69,100
13269,0.00,-5.47,11.48,50.20,-0.047,86,3474,21,21,0.00,11.72,0.00,11.78,4,1.0000,22.00,34.09,10,32,32,16,1.470,0.460,104.42,0.00,36.08,100
13316,0.00,-5.47,11.48,49.80,-0.047,86,3503,21,21,0.00,11.74,0.00,11.52,4,1.0000,22.00,33.63,10,32,32,16,1.470,0.460,104.16,0.00,36.08,101
13345,0.00,-5.47,11.48,50.20,-0.051,86,3480,21,21,0.00,11.74,0.00,11.78,4,1.0000,22.00,34.15,10,32,32,16,1.470,0.460,104.16,0.00,36.08,101
13376,0.00,-5.47,11.48,50.20,-0.044,86,3492,21,21,0.00,11.73,0.00,11.78,4,1.0000,22.00,34.37,10,32,32,16,1.470,0.460,104.94,0.00,36.08,101
13414,0.00,-5.47,11.60,49.80,-0.044,86,3513,21,21,0.00,11.73,0.00,11.78,4,1.0000,22.00,34.47,10,32,32,16,1.470,0.460,105.98,0.00,36.08,101
13450,0.00,-5.47,11.60,49.80,-0.051,86,3518,21,21,0.00,11.68,0.00,11.78,4,1.0000,22.00,34.52,10,32,32,16,1.460,0.460,105.72,0.00,36.08,101
13479,0.00,-5.47,11.48,49.80,-0.051,86,3494,21,21,0.00,11.68,0.00,11.78,4,1.0000,22.00,34.29,9,32,32,16,1.470,0.460,104.94,0.00,35.69,101
13508,0.00,-5.47,11.48,49.80,-0.054,86,3511,21,21,0.00,11.70,0.00,11.78,4,1.0000,22.00,34.45,9,32,32,16,1.470,0.460,105.46,0.00,35.69,101
13536,0.00,-5.47,11.48,49.80,-0.054,86,3496,21,21,0.00,11.70,0.00,11.78,4,1.0000,22.00,34.30,9,32,32,16,1.460,0.460,104.68,0.00,35.69,101
13562,0.00,-5.47,11.48,49.80,-0.055,86,3521,21,21,0.00,11.71,0.00,11.78,4,1.0000,22.00,34.55,9,32,32,16,1.470,0.460,103.90,0.00,35.29,101
13603,0.00,-5.47,11.48,49.80,-0.055,86,3504,21,21,0.00,11.71,0.00,11.78,4,1.0000,22.00,34.38,9,32,32,16,1.460,0.450,105.20,0.00,35.29,102
13631,0.00,-5.47,11.48,49.80,-0.040,86,3501,21,21,0.00,11.73,0.00,11.78,4,1.0000,22.00,34.36,9,32,32,16,1.460,0.450,104.94,0.00,35.29,102
13670,0.00,-5.47,11.48,49.80,-0.040,86,3502,21,21,0.00,11.73,0.00,11.78,4,1.0000,22.00,34.37,9,32,32,16,1.460,0.450,104.94,0.00,35.29,102
13711,0.00,-5.47,11.48,49.80,-0.043,86,3531,21,21,0.00,11.70,0.00,11.78,4,1.0000,22.00,34.65,9,32,32,16,1.460,0.460,104.68,0.00,35.69,102
13750,0.00,-5.47,11.48,50.20,-0.043,86,3514,21,20,0.00,11.70,0.00,11.52,4,1.0000,22.50,33.74,9,32,32,16,1.460,0.460,103.90,0.00,36.08,102
13777,0.00,-5.47,11.48,50.20,-0.042,86,3540,21,20,0.00,11.75,0.00,11.52,4,1.0000,22.50,33.99,9,32,32,16,1.460,0.460,106.50,0.00,36.47,103
13803,0.00,-5.47,11.48,50.20,-0.042,86,3518,20,21,0.00,11.75,0.00,11.78,4,1.0000,22.00,34.53,9,32,32,16,1.470,0.460,107.02,0.00,36.08,103
13847,0.00,-5.47,11.48,50.20,-0.045,86,3545,20,21,0.00,11.70,0.00,11.78,4,1.0000,22.00,34.79,9,32,32,16,1.470,0.460,105.46,0.00,36.08,103
13885,0.00,-5.47,11.48,50.20,-0.048,86,3521,20,20,0.00,11.67,0.00,11.78,4,1.0000,22.00,34.55,9,32,32,16,1.470,0.460,106.50,0.00,36.08,103
13914,0.00,-5.47,11.48,50.20,-0.048,86,3530,20,20,0.00,11.67,0.00,11.78,4,1.0000,22.00,34.64,9,32,32,16,1.470,0.470,107.54,0.00,36.08,103
13940,0.00,-5.47,11.48,50.20,-0.044,86,3534,20,20,0.00,11.62,0.00,11.78,4,1.0000,22.00,34.68,9,32,32,16,1.470,0.460,107.28,0.00,36.08,103
13984,0.00,-5.47,11.48,50.20,-0.044,86,3555,20,20,0.00,11.62,0.00,11.78,4,1.0000,22.00,34.89,9,32,33,16,1.470,0.460,105.72,0.00,36.08,103
14031,0.00,-5.47,11.37,49.80,-0.049,86,3532,20,20,0.00,11.64,0.00,11.78,4,1.0000,22.00,34.67,9,32,32,16,1.470,0.460,105.46,0.00,36.08,103
14058,0.00,-5.47,11.37,50.20,-0.049,86,3548,20,20,0.00,11.64,0.00,11.78,4,1.0000,22.00,34.82,9,32,32,16,1.460,0.460,107.28,0.00,35.69,104
14082,0.00,-5.47,11.37,49.80,-0.048,86,3561,20,20,0.00,11.63,0.00,11.78,4,1.0000,22.00,34.94,9,32,32,16,1.460,0.460,106.76,0.00,36.08,104
14109,0.00,-5.47,11.37,49.80,-0.048,86,3543,20,20,0.00,11.63,0.00,11.78,4,1.0000,22.00,34.77,9,32,32,16,1.460,0.460,108.06,0.00,35.69,104
14135,0.00,-5.47,11.37,49.80,-0.050,86,3556,20,20,0.00,11.64,0.00,11.78,4,1.0000,22.00,34.90,9,32,32,16,1.470,0.460,105.20,0.00,35.69,104
14159,0.00,-5.47,11.25,49.80,-0.050,86,3530,20,20,0.00,11.64,0.00,11.78,4,1.0000,22.00,34.64,9,32,32,16,1.460,0.460,104.94,0.00,35.69,104
14183,0.00,-5.47,11.25,49.80,-0.050,86,3547,20,20,0.00,11.64,0.00,11.78,4,1.0000,22.00,34.81,9,32,31,16,1.460,0.460,105.72,0.00,35.29,104
14211,0.00,-5.47,11.25,49.80,-0.046,86,3535,20,21,0.00,11.69,0.00,11.78,4,1.0000,22.00,34.69,9,32,31,16,1.460,0.460,105.46,0.00,35.29,104
14239,0.00,-5.47,11.25,49.80,-0.046,86,3552,20,20,0.00,11.69,0.00,11.52,4,1.0000,22.50,34.10,9,32,32,16,1.460,0.450,103.38,0.00,34.90,104
14275,0.00,-5.47,11.25,49.80,-0.049,86,3530,20,20,0.00,11.72,0.00,11.52,4,1.0000,22.50,33.89,9,32,32,16,1.460,0.450,104.94,0.00,34.90,104
14299,0.00,-5.47,11.37,49.80,-0.049,86,3540,20,20,0.00,11.72,0.00,11.52,4,1.0000,22.50,33.98,9,32,32,16,1.460,0.450,104.16,0.00,35.29,104
14322,0.00,-5.47,11.37,49.80,-0.047,86,3567,20,20,0.00,11.73,0.00,11.52,4,1.0000,22.50,34.24,9,32,32,16,1.460,0.450,105.72,0.00,35.29,105
14349,0.00,-5.47,11.37,49.80,-0.047,86,3552,20,20,0.00,11.73,0.00,11.52,4,1.0000,22.50,34.10,9,32,32,16,1.460,0.450,106.76,0.00,35.29,105
14375,0.00,-5.47,11.37,49.80,-0.047,86,3582,20,20,0.00,11.73,0.00,11.52,4,1.0000,22.50,34.38,9,32,33,16,1.460,0.450,105.20,0.00,35.69,105
14400,0.00,-5.47,11.37,49.80,-0.047,86,3559,20,20,0.00,11.72,0.00,11.78,4,1.0000,22.50,34.93,9,32,33,16,1.460,0.450,106.76,0.00,35.69,105
14436,0.00,-5.47,11.48,50.59,-0.047,86,3566,20,20,0.00,11.72,0.00,11.78,4,1.0000,22.50,34.99,9,33,33,16,1.460,0.450,107.28,0.00,35.69,105
14463,0.00,-5.47,11.37,51.37,-0.026,86,3560,20,20,0.00,11.69,0.00,11.78,4,1.0000,22.50,34.94,9,33,33,16,1.460,0.450,105.98,0.00,36.47,105
14493,0.00,-5.47,11.37,51.37,-0.026,86,3582,20,20,0.00,11.69,0.00,11.78,4,1.0000,22.00,35.15,9,33,33,16,1.470,0.460,108.88,0.00,37.25,105
14535,0.00,-5.47,11.37,50.98,-0.037,86,3593,20,20,0.00,11.63,0.00,11.78,4,1.0000,22.00,35.26,9,32,33,16,1.470,0.470,107.28,0.00,37.25,105
14598,0.00,-5.47,11.37,50.98,-0.037,86,3603,20,20,0.00,11.63,0.00,12.03,4,1.0000,22.00,36.12,9,32,32,16,1.470,0.470,107.54,0.00,37.25,105
14642,0.00,-5.47,11.37,50.59,-0.049,86,3593,20,20,0.00,11.62,0.00,12.03,4,1.0000,22.00,36.03,9,32,32,16,1.480,0.470,110.64,0.00,36.86,106
14675,0.00,-5.47,11.37,50.59,-0.056,86,3598,20,20,0.00,11.57,0.00,12.03,4,1.0000,22.00,36.07,9,32,32,16,1.470,0.470,110.04,0.00,36.08,106
14740,0.00,-5.47,11.25,50.59,-0.056,86,3582,20,20,0.00,11.57,0.00,12.03,4,1.0000,22.00,35.92,9,32,32,16,1.480,0.470,107.80,0.00,36.08,106
14761,0.00,-5.47,11.25,50.59,-0.050,86,3587,20,20,0.00,11.57,0.00,11.78,4,1.0000,22.00,35.20,9,32,32,16,1.470,0.470,107.80,0.00,36.47,106
14800,0.00,-5.47,11.25,50.59,-0.051,86,3610,20,20,0.00,11.61,0.00,11.78,4,1.0000,22.50,35.42,9,32,31,16,1.470,0.470,106.24,0.00,36.47,106
14834,0.00,-5.47,11.25,50.59,-0.051,86,3597,20,20,0.00,11.65,0.00,11.78,4,1.0000,22.50,35.30,9,32,32,16,1.470,0.460,108.06,0.00,36.47,107
14862,0.00,-5.47,11.25,50.59,-0.043,86,3604,20,20,0.00,11.65,0.00,11.78,4,1.0000,22.50,35.37,9,32,32,16,1.470,0.470,107.54,0.00,36.47,107
14895,0.00,-5.47,11.25,50.59,-0.043,86,3622,20,20,0.00,11.65,0.00,11.78,4,1.0000,22.50,35.55,9,32,31,16,1.470,0.460,107.02,0.00,36.47,107
14926,0.00,-5.47,11.25,50.59,-0.050,86,3626,20,20,0.00,11.66,0.00,11.78,4,1.0000,22.50,35.58,9,31,31,16,1.470,0.460,107.80,0.00,36.47,107
14962,0.00,-5.47,11.25,50.98,-0.050,86,3625,20,20,0.00,11.66,0.00,11.78,4,1.0000,22.50,35.57,9,31,32,16,1.470,0.460,106.76,0.00,36.47,107
14990,0.00,-5.47,11.37,50.59,-0.039,86,3628,20,20,0.00,11.67,0.00,11.78,4,1.0000,22.50,35.61,9,32,32,16,1.470,0.470,109.74,0.00,36.86,107
15015,0.00,-5.47,11.37,50.59,-0.039,86,3639,20,20,0.00,11.67,0.00,11.78,4,1.0000,22.50,35.71,9,32,32,16,1.470,0.470,109.22,0.00,36.86,107
15041,0.00,-5.47,11.37,50.98,-0.043,86,3622,20,20,0.00,11.63,0.00,11.78,4,1.0000,22.50,35.54,9,32,32,16,1.470,0.470,108.88,0.00,36.86,107
15068,0.00,-5.47,11.37,50.98,-0.043,86,3648,20,20,0.00,11.63,0.00,11.78,4,1.0000,22.50,35.80,9,32,32,16,1.470,0.470,109.78,0.00,36.86,108
15095,0.00,-5.47,11.37,50.98,-0.044,86,3619,20,20,0.00,11.60,0.00,12.03,4,1.0000,22.00,36.29,9,32,32,16,1.470,0.470,111.84,0.00,36.86,108
15123,0.00,-5.47,11.25,50.98,-0.044,86,3620,20,19,0.00,11.60,0.00,12.03,4,1.0000,22.50,36.29,9,32,32,16,1.480,0.470,108.06,0.00,36.86,108
15155,0.00,-5.47,11.25,50.98,-0.045,86,3650,20,20,0.00,11.61,0.00,12.03,4,1.0000,22.50,36.60,9,32,32,16,1.470,0.470,108.32,0.00,36.86,108
15200,0.00,-5.47,11.25,50.98,-0.045,86,3650,19,20,0.00,11.61,0.00,11.78,4,1.0000,22.50,35.82,9,32,31,16,1.480,0.470,107.80,0.00,36.86,108
15237,0.00,-5.47,11.25,50.98,-0.045,86,3634,19,20,0.00,11.65,0.00,11.78,4,1.0000,22.50,35.67,9,32,32,16,1.480,0.470,110.64,0.00,36.86,108
15283,0.00,-5.47,11.25,50.59,-0.045,86,3664,19,20,0.00,11.65,0.00,11.78,4,1.0000,23.00,35.96,9,32,32,16,1.480,0.470,109.74,0.00,36.86,108
15315,0.00,-5.47,11.25,50.59,-0.050,86,3654,20,19,0.00,11.62,0.00,12.03,4,1.0000,22.50,36.63,9,32,31,16,1.480,0.470,108.88,0.00,36.86,108
15343,0.00,-5.47,11.25,50.59,-0.052,86,3635,20,20,0.00,11.60,0.00,12.03,4,1.0000,22.50,36.45,9,32,31,16,1.480,0.470,112.14,0.00,36.86,108
15380,0.00,-5.47,11.25,50.59,-0.052,86,3646,20,20,0.00,11.60,0.00,12.03,4,1.0000,22.50,36.56,9,32,31,16,1.470,0.470,109.44,0.00,36.86,108
15409,0.00,-5.47,11.25,50.59,-0.048,86,3669,20,20,0.00,11.63,0.00,11.78,4,1.0000,22.50,36.01,9,32,31,16,1.470,0.470,107.80,0.00,36.86,109
15434,0.00,-5.47,11.25,50.59,-0.048,86,3648,19,20,0.00,11.63,0.00,11.78,4,1.0000,23.00,35.80,9,32,31,16,1.470,0.470,109.14,0.00,36.86,109
15466,0.00,-5.47,11.14,50.59,-0.048,86,3680,20,19,0.00,11.63,0.00,11.78,4,1.0000,23.00,36.11,9,32,32,16,1.470,0.470,110.64,0.00,36.86,109
15493,0.00,-5.47,11.14,50.59,-0.049,86,3690,20,19,0.00,11.64,0.00,11.78,4,1.0000,23.00,36.21,9,32,32,16,1.470,0.470,108.32,0.00,36.86,109
15520,0.00,-5.47,11.25,50.59,-0.049,86,3656,20,19,0.00,11.64,0.00,11.78,4,1.0000,23.00,35.88,9,32,32,16,1.470,0.460,107.54,0.00,36.86,109
15545,0.00,-5.47,11.25,50.59,-0.046,86,3671,20,19,0.00,11.68,0.00,11.78,4,1.0000,23.00,36.02,9,32,31,16,1.470,0.470,109.18,0.00,36.86,109
15573,0.00,-5.47,11.25,50.59,-0.046,86,3660,20,19,0.00,11.68,0.00,11.78,4,1.0000,23.00,35.92,9,32,31,16,1.470,0.460,109.14,0.00,36.86,109
15599,0.00,-5.47,11.25,50.59,-0.056,86,3667,20,20,0.00,11.68,0.00,11.78,4,1.0000,23.00,35.98,9,32,31,16,1.470,0.460,110.94,0.00,36.86,109
15625,0.00,-5.47,11.37,50.59,-0.056,86,3693,20,20,0.00,11.68,0.00,11.78,4,1.0000,23.00,36.24,9,32,32,16,1.470,0.460,111.24,0.00,36.86,110
15653,0.00,-5.47,11.37,50.59,-0.056,86,3672,19,20,0.00,11.68,0.00,11.78,4,1.0000,23.00,36.04,9,32,32,16,1.470,0.470,109.74,0.00,36.86,110
15676,0.00,-5.47,11.37,50.59,-0.049,86,3693,20,19,0.00,11.63,0.00,11.78,4,1.0000,23.00,36.24,9,32,32,16,1.470,0.460,108.58,0.00,36.86,110
15703,0.00,-5.47,11.25,50.59,-0.049,86,3675,20,19,0.00,11.63,0.00,11.78,4,1.0000,23.00,36.07,9,32,32,16,1.470,0.460,111.54,0.00,36.47,110
15743,0.00,-5.47,11.25,50.59,-0.049,86,3678,20,20,0.00,11.61,0.00,12.03,4,1.0000,23.00,36.87,9,32,32,16,1.470,0.460,109.18,0.00,36.86,110
15769,0.00,-5.47,11.25,50.59,-0.049,86,3703,20,19,0.00,11.61,0.00,12.03,4,1.0000,23.00,37.13,9,32,32,16,1.470,0.460,112.74,0.00,36.86,110
15794,0.00,-5.47,11.25,50.59,-0.049,86,3683,20,20,0.00,11.58,0.00,12.03,4,1.0000,22.50,36.93,9,32,32,16,1.470,0.460,114.54,0.00,36.86,110
15823,0.00,-5.47,11.25,50.59,-0.049,86,3711,20,20,0.00,11.58,0.00,12.03,4,1.0000,23.00,37.21,9,32,32,16,1.470,0.460,110.34,0.00,36.86,110
15849,0.00,-5.47,11.14,50.59,-0.049,86,3686,19,20,0.00,11.58,0.00,12.03,4,1.0000,23.00,36.96,9,32,32,16,1.470,0.460,109.44,0.00,36.86,110
15876,0.00,-5.47,11.14,50.59,-0.049,86,3694,20,19,0.00,11.61,0.00,11.78,4,1.0000,23.00,36.25,9,32,32,16,1.470,0.460,109.18,0.00,36.86,110
15903,0.00,-5.47,11.14,50.59,-0.049,86,3712,20,20,0.00,11.61,0.00,11.78,4,1.0000,23.00,36.43,9,32,31,16,1.470,0.460,110.64,0.00,36.86,111
